gp_code,panchayat_id,elevation_dem_m,slope_deg,aspect_sin,aspect_cos,terrain_roughness_m,relative_elevation_m,nearest_river,distance_to_river_m,sand_pct,clay_pct,silt_pct,soil_type
107085,WB_107085,89.1,1.15,-0.6596,0.7516,5.08,-1.82,Kangsabati,3807.1702058121055,51.25,22.69,26.06,sandy
107086,WB_107086,95.75,1.19,-0.6806,0.7327,5.8,4.83,Kangsabati,4598.592862202424,51.24,22.71,26.05,sandy
107087,WB_107087,85.63,1.15,-0.6868,0.7269,5.2,-5.29,Kangsabati,3197.2990655147128,51.22,22.7,26.08,sandy
107088,WB_107088,93.66,1.19,-0.6201,0.7845,6.02,2.74,Kangsabati,4408.006101911694,51.28,22.69,26.03,sandy
107089,WB_107089,93.64,1.18,-0.7193,0.6947,5.8,2.72,Kangsabati,4321.186906325545,51.2,22.72,26.08,sandy
107090,WB_107090,83.76,1.12,-0.6772,0.7358,5.04,-7.16,Kangsabati,2893.7536488962387,51.25,22.68,26.07,sandy
107091,WB_107091,102.59,1.25,-0.6851,0.7285,5.61,11.67,Kangsabati,5317.772764718889,51.26,22.7,26.04,sandy
107092,WB_107092,85.73,1.14,-0.6801,0.7331,5.2,-5.19,Kangsabati,3135.5725786800494,51.19,22.72,26.09,sandy
107093,WB_107093,88.44,1.2,-0.6256,0.7801,6.02,-2.48,Kangsabati,3782.3110092411653,51.29,22.67,26.04,sandy
107094,WB_107094,143.11,0.99,-0.6605,0.7508,4.28,0.45,Kangsabati,9804.130681597822,51.3,22.73,25.97,sandy
107095,WB_107095,145.4,0.95,-0.591,0.8067,4.12,2.74,Kangsabati,10566.21382087071,51.28,22.75,25.97,sandy
107096,WB_107096,140.12,0.99,-0.6166,0.7873,4.38,-2.54,Kangsabati,9161.989954432505,51.27,22.74,25.99,sandy
107097,WB_107097,144.57,0.94,-0.8029,0.5961,4.26,1.91,Kangsabati,10432.833474539078,51.32,22.73,25.95,sandy
107098,WB_107098,145.28,0.95,-0.4481,0.894,4.12,2.62,Kangsabati,10246.021191681979,51.25,22.76,25.99,sandy
107099,WB_107099,138.05,1.02,-0.6471,0.7624,4.25,-4.61,Kangsabati,8906.787477970107,51.3,22.72,25.98,sandy
107100,WB_107100,144.91,0.84,-0.4833,0.8755,3.88,2.25,Kangsabati,11310.411171592752,51.31,22.74,25.95,sandy
107101,WB_107101,139.81,1.0,-0.641,0.7675,4.38,-2.85,Kangsabati,9056.272833919707,51.24,22.75,26.01,sandy
107102,WB_107102,142.65,0.92,-0.7887,0.6148,4.26,-0.01,Kangsabati,9840.262765556083,51.34,22.71,25.95,sandy
107103,WB_107103,106.79,1.45,0.7726,-0.6349,7.07,0.95,Kangsabati,15842.697070568547,51.32,22.78,25.9,sandy
107104,WB_107104,108.41,1.44,0.7742,-0.6329,8.23,2.57,Kangsabati,15636.807419252107,51.35,22.76,25.89,sandy
107105,WB_107105,95.84,1.44,0.7675,-0.6411,7.36,-10.0,Kangsabati,16737.56827858601,51.33,22.79,25.88,sandy
107106,WB_107106,116.95,1.45,0.7729,-0.6345,7.07,11.11,Kangsabati,15013.704517281823,51.31,22.78,25.91,sandy
107107,WB_107107,98.36,1.44,0.7818,-0.6235,8.23,-7.48,Kangsabati,16421.0830851778,51.38,22.76,25.86,sandy
107108,WB_107108,101.74,1.44,0.7632,-0.6461,7.98,-4.1,Kangsabati,16319.016580158317,51.3,22.8,25.9,sandy
107109,WB_107109,118.98,1.45,0.7746,-0.6324,7.33,13.14,Kangsabati,14756.288756128226,51.35,22.76,25.89,sandy
107110,WB_107110,88.08,1.43,0.7701,-0.6379,7.36,-17.76,Kangsabati,17374.551030640796,51.36,22.78,25.86,sandy
107111,WB_107111,117.45,1.45,0.7733,-0.6341,7.07,11.61,Kangsabati,15043.445930750051,51.28,22.79,25.93,sandy
107112,WB_107112,70.61,0.99,-0.5721,0.8202,4.61,-1.99,Kangsabati,21579.29520988955,51.39,22.81,25.8,sandy
107113,WB_107113,75.57,1.05,-0.6597,0.7515,4.48,2.97,Kangsabati,22550.01987953586,51.4,22.81,25.79,sandy
107114,WB_107114,70.73,1.0,-0.6897,0.7241,4.45,-1.87,Kangsabati,21476.310441660607,51.35,22.82,25.83,sandy
107115,WB_107115,70.77,1.0,-0.5182,0.8553,4.52,-1.83,Kangsabati,21726.8665827468,51.42,22.8,25.78,sandy
107116,WB_107116,77.91,1.08,-0.6608,0.7506,4.48,5.31,Kangsabati,22833.560398485588,51.37,22.83,25.8,sandy
107117,WB_107117,69.22,0.91,-0.5729,0.8196,4.1,-3.38,Kangsabati,20668.074391754988,51.37,22.81,25.82,sandy
107118,WB_107118,77.2,1.03,-0.7101,0.7041,4.73,4.6,Kangsabati,22824.673091649256,51.43,22.8,25.77,sandy
107119,WB_107119,72.86,0.98,-0.7104,0.7038,4.45,0.26,Kangsabati,21944.545660599462,51.33,22.84,25.83,sandy
107120,WB_107120,68.54,0.97,-0.7015,0.7127,4.52,-4.06,Kangsabati,20842.725208145614,51.41,22.79,25.8,sandy
107121,WB_107121,123.8,1.14,-0.6684,0.7438,5.88,-1.12,Kangsabati,27518.703147007174,51.43,22.85,25.72,sandy
107122,WB_107122,129.39,1.1,-0.6841,0.7294,4.66,4.47,Kangsabati,28418.297429834256,51.45,22.85,25.7,sandy
107123,WB_107123,125.82,1.12,-0.625,0.7806,5.36,0.9,Kangsabati,27747.075832747734,51.4,22.87,25.73,sandy
107124,WB_107124,122.25,1.18,-0.706,0.7082,5.58,-2.67,Kangsabati,27359.57884945053,51.46,22.83,25.71,sandy
107125,WB_107125,132.0,1.06,-0.6594,0.7518,4.66,7.08,Kangsabati,28994.21623908898,51.43,22.86,25.71,sandy
107126,WB_107126,117.61,1.2,-0.6935,0.7204,5.72,-7.31,Kangsabati,26779.26019292123,51.4,22.86,25.74,sandy
107127,WB_107127,128.75,1.15,-0.6974,0.7167,5.71,3.83,Kangsabati,28367.866339875407,51.48,22.83,25.69,sandy
107128,WB_107128,130.35,1.14,-0.6574,0.7535,5.36,5.43,Kangsabati,28454.04454214586,51.39,22.88,25.73,sandy
107129,WB_107129,114.34,1.22,-0.6416,0.767,5.58,-10.58,Kangsabati,26481.671847885034,51.44,22.83,25.73,sandy
107130,WB_107130,102.53,1.44,0.7715,-0.6362,6.9,-0.97,Kangsabati,34010.37709460549,51.49,22.88,25.63,sandy
107131,WB_107131,102.21,1.41,0.7862,-0.618,7.99,-1.29,Kangsabati,34111.260264290926,51.46,22.9,25.64,sandy
107132,WB_107132,112.87,1.41,0.7635,-0.6458,7.21,9.37,Kangsabati,33112.75896917271,51.48,22.88,25.64,sandy
107133,WB_107133,92.47,1.44,0.7723,-0.6353,6.9,-11.03,Kangsabati,34836.07188298558,51.5,22.89,25.61,sandy
107134,WB_107134,112.22,1.42,0.7898,-0.6134,7.99,8.72,Kangsabati,33282.989241499075,51.44,22.9,25.66,sandy
107135,WB_107135,106.26,1.42,0.7519,-0.6593,7.88,2.76,Kangsabati,33628.20400732169,51.52,22.87,25.61,sandy
107136,WB_107136,91.78,1.44,0.7706,-0.6373,7.36,-11.72,Kangsabati,34975.07736287978,51.46,22.91,25.63,sandy
107137,WB_107137,120.39,1.38,0.7714,-0.6363,7.21,16.89,Kangsabati,32413.445894498233,51.46,22.88,25.66,sandy
107138,WB_107138,90.78,1.44,0.7739,-0.6333,6.9,-12.72,Kangsabati,34904.627034538884,51.53,22.87,25.6,sandy
107139,WB_107139,56.79,0.81,0.1528,0.9883,3.59,-1.21,Kangsabati,39505.71338238657,51.53,22.92,25.55,sandy
107140,WB_107140,58.41,0.86,-0.5119,0.8591,3.6,0.41,Kangsabati,40475.501973648294,51.54,22.93,25.53,sandy
107141,WB_107141,57.35,0.81,-0.53,0.848,3.58,-0.65,Kangsabati,39424.40445686834,51.5,22.94,25.56,sandy
107142,WB_107142,56.33,0.83,0.2692,0.9631,3.47,-1.67,Kangsabati,39633.42595733047,51.56,22.91,25.53,sandy
107143,WB_107143,60.02,0.89,-0.5441,0.839,3.6,2.02,Kangsabati,40779.633835169974,51.51,22.94,25.55,sandy
107144,WB_107144,58.74,0.81,0.989,-0.1481,3.4,0.74,Kangsabati,38602.368020406604,51.51,22.92,25.57,sandy
107145,WB_107145,59.04,0.83,-0.6544,0.7562,3.61,1.04,Kangsabati,40729.569665670504,51.57,22.91,25.52,sandy
107146,WB_107146,57.92,0.79,-0.5979,0.8016,3.58,-0.08,Kangsabati,39910.38211033842,51.47,22.95,25.58,sandy
107147,WB_107147,57.4,0.77,-0.4948,0.869,3.47,-0.6,Kangsabati,38746.23514008094,51.55,22.9,25.55,sandy
107148,WB_107148,108.45,1.24,-0.6833,0.7301,5.54,1.8,Damodar,36533.10471253547,51.56,22.97,25.47,sandy
107149,WB_107149,100.84,1.27,-0.6938,0.7202,6.34,-5.81,Damodar,37421.70875348339,51.58,22.96,25.46,sandy
107150,WB_107150,113.21,1.25,-0.6993,0.7148,5.74,6.56,Damodar,36131.5322442018,51.59,22.96,25.45,sandy
107151,WB_107151,102.85,1.27,-0.659,0.7521,6.56,-3.8,Damodar,36948.875614857105,51.54,22.98,25.48,sandy
107152,WB_107152,103.53,1.27,-0.7191,0.6949,6.34,-3.12,Damodar,37384.070295777456,51.61,22.94,25.45,sandy
107153,WB_107153,115.49,1.23,-0.6936,0.7203,5.57,8.84,Damodar,35599.3800915723,51.56,22.98,25.46,sandy
107154,WB_107154,93.23,1.32,-0.6945,0.7195,6.01,-13.42,Damodar,37962.44311628164,51.55,22.96,25.49,sandy
107155,WB_107155,113.45,1.24,-0.6944,0.7196,5.74,6.8,Damodar,36300.911964990126,51.62,22.95,25.43,sandy
107156,WB_107156,108.84,1.28,-0.6585,0.7526,6.56,2.19,Damodar,36195.090130975696,51.52,22.99,25.49,sandy
107157,WB_107157,101.36,1.38,0.7749,-0.6321,6.47,-0.56,Damodar,31061.83775600482,51.63,23.0,25.37,sandy
107158,WB_107158,101.63,1.31,0.8113,-0.5847,7.26,-0.29,Damodar,30742.481830411507,51.6,23.01,25.39,sandy
107159,WB_107159,110.02,1.32,0.7584,-0.6518,6.59,8.1,Damodar,31916.12551917038,51.63,22.99,25.38,sandy
107160,WB_107160,92.09,1.37,0.7771,-0.6294,6.47,-9.83,Damodar,30263.698144118294,51.64,23.0,25.36,sandy
107161,WB_107161,110.22,1.33,0.805,-0.5932,7.26,8.3,Damodar,31442.60617761107,51.58,23.01,25.41,sandy
107162,WB_107162,104.12,1.33,0.7324,-0.6809,7.24,2.2,Damodar,31627.536095381136,51.66,22.98,25.36,sandy
107163,WB_107163,92.06,1.37,0.7718,-0.6359,6.94,-9.86,Damodar,29879.494253539167,51.6,23.02,25.38,sandy
107164,WB_107164,115.82,1.26,0.7764,-0.6302,6.59,13.9,Damodar,32453.959880905848,51.6,23.0,25.4,sandy
107165,WB_107165,89.94,1.38,0.7817,-0.6237,6.47,-11.98,Damodar,30406.151260109542,51.67,22.99,25.34,sandy
107166,WB_107166,45.25,0.78,0.9993,-0.0361,3.41,-1.86,Damodar,25263.032104476442,51.68,23.04,25.28,sandy
107167,WB_107167,46.4,0.93,0.6219,-0.7831,4.33,-0.71,Damodar,25273.304397520904,51.64,23.05,25.31,sandy
107168,WB_107168,47.46,0.93,0.9409,-0.3386,4.39,0.35,Damodar,26129.271210897972,51.69,23.02,25.29,sandy
107169,WB_107169,45.42,0.79,0.8799,-0.4752,3.41,-1.69,Damodar,24472.118814679616,51.67,23.05,25.28,sandy
107170,WB_107170,50.34,0.93,0.8212,-0.5706,4.33,3.23,Damodar,26115.133273516676,51.64,23.05,25.31,sandy
107171,WB_107171,44.69,0.91,0.985,-0.1726,4.28,-2.42,Damodar,25534.498483995678,51.71,23.02,25.27,sandy
107172,WB_107172,45.77,0.85,0.6953,-0.7187,3.83,-1.34,Damodar,24459.341390330446,51.63,23.06,25.31,sandy
107173,WB_107173,52.76,0.99,0.7919,-0.6106,4.39,5.65,Damodar,26865.702662175816,51.67,23.02,25.31,sandy
107174,WB_107174,45.93,0.76,0.6735,-0.7392,3.41,-1.18,Damodar,24305.87941864089,51.71,23.03,25.26,sandy
107175,WB_107175,87.73,1.34,-0.6985,0.7156,6.07,1.74,Damodar,19502.991465442818,51.71,23.08,25.21,sandy
107176,WB_107176,79.01,1.36,-0.7012,0.713,6.8,-6.98,Damodar,20399.63454219405,51.72,23.07,25.21,sandy
107177,WB_107177,93.64,1.35,-0.7069,0.7073,6.3,7.65,Damodar,19121.939943765963,51.74,23.07,25.19,sandy
107178,WB_107178,81.44,1.35,-0.6928,0.7212,7.08,-4.55,Damodar,19900.452597002677,51.68,23.09,25.23,sandy
107179,WB_107179,81.8,1.35,-0.7102,0.704,6.8,-4.19,Damodar,20385.01956895795,51.75,23.06,25.19,sandy
107180,WB_107180,96.75,1.33,-0.7053,0.7089,6.07,10.76,Damodar,18568.64969059193,51.7,23.09,25.21,sandy
107181,WB_107181,71.27,1.37,-0.7023,0.7119,6.39,-14.72,Damodar,20922.50835690344,51.69,23.07,25.24,sandy
107182,WB_107182,93.94,1.34,-0.7054,0.7088,6.3,7.95,Damodar,19313.224448169996,51.77,23.06,25.17,sandy
107183,WB_107183,88.36,1.36,-0.689,0.7248,7.08,2.37,Damodar,19135.483875666836,51.66,23.1,25.24,sandy
107184,WB_107184,102.88,1.1,0.7749,-0.6321,4.95,2.57,Damodar,14246.345655043102,51.75,23.12,25.13,sandy
107185,WB_107185,100.31,1.22,0.7148,-0.6994,6.32,-0.0,Damodar,14272.021803721376,51.79,23.1,25.11,sandy
107186,WB_107186,96.25,1.22,0.8166,-0.5771,6.22,-4.06,Damodar,13376.211199936077,51.75,23.13,25.12,sandy
107187,WB_107187,106.96,1.12,0.7611,-0.6486,4.95,6.65,Damodar,15042.818057097065,51.76,23.11,25.13,sandy
107188,WB_107188,92.0,1.22,0.7723,-0.6352,6.32,-8.31,Damodar,13440.56388850714,51.8,23.11,25.09,sandy
107189,WB_107189,103.28,1.19,0.8442,-0.5361,6.37,2.97,Damodar,13940.986831522827,51.72,23.13,25.15,sandy
107190,WB_107190,104.94,1.16,0.7394,-0.6733,5.79,4.63,Damodar,15096.243597143895,51.8,23.09,25.11,sandy
107191,WB_107191,87.27,1.27,0.77,-0.6381,6.22,-13.04,Damodar,12657.07306902869,51.76,23.13,25.11,sandy
107192,WB_107192,108.92,1.09,0.742,-0.6704,4.95,8.61,Damodar,15176.208020228603,51.72,23.12,25.16,sandy
107193,WB_107193,37.09,1.11,0.7443,-0.6679,5.31,-3.07,Damodar,8020.773162112291,51.81,23.15,25.04,sandy
107194,WB_107194,43.69,1.13,0.7894,-0.6139,4.98,3.53,Damodar,8929.57592831034,51.79,23.15,25.06,sandy
107195,WB_107195,36.58,1.09,0.8315,-0.5555,5.02,-3.58,Damodar,8302.131375247547,51.84,23.14,25.02,sandy
107196,WB_107196,37.83,1.09,0.709,-0.7052,5.31,-2.33,Damodar,7813.654312160907,51.78,23.17,25.05,sandy
107197,WB_107197,46.66,1.16,0.7821,-0.6231,4.98,6.5,Damodar,9560.491891788732,51.82,23.13,25.05,sandy
107198,WB_107198,34.21,1.01,0.7733,-0.6341,5.02,-5.95,Damodar,7290.135336655809,51.83,23.15,25.02,sandy
107199,WB_107199,45.78,1.09,0.7929,-0.6093,5.31,5.62,Damodar,8830.73431009424,51.76,23.17,25.07,sandy
107200,WB_107200,39.45,1.06,0.8383,-0.5452,5.02,-0.71,Damodar,9059.07962430006,51.86,23.12,25.02,sandy
107201,WB_107201,62.05,1.38,-0.707,0.7072,7.49,-2.77,Damodar,3054.8320913852335,51.87,23.18,24.95,sandy
107202,WB_107202,72.43,1.38,-0.7082,0.706,6.85,7.61,Damodar,2063.7913152983742,51.86,23.19,24.95,sandy
107203,WB_107203,56.62,1.38,-0.7147,0.6995,6.69,-8.2,Damodar,3311.6180817686827,51.83,23.19,24.98,sandy
107204,WB_107204,67.74,1.37,-0.7109,0.7033,7.49,2.92,Damodar,2765.6078621359293,51.9,23.17,24.93,sandy
107205,WB_107205,71.15,1.38,-0.7079,0.7063,6.85,6.33,Damodar,1920.9475545251387,51.83,23.21,24.96,sandy
107206,WB_107206,51.4,1.37,-0.7159,0.6982,6.69,-13.42,Damodar,4034.290315440588,51.86,23.17,24.97,sandy
